Firm,Site,What They do,Interest,#'d Interest
Accompany,https://www.accompany.com/,Accompany | People and company intelligence for executives.,sure,1.0
Advanced Metal Technology AG,https://www.amtech-amt.com/,"Amtech-amt.com | Advanced Metal Technology, INC.",nah,empty
Affirm,https://www.affirm.com/,empty,empty,empty
Altschool,https://www.altschool.com/,empty,Yes,4.0
ARSALIS,Unknown,Unknown,Unknown,empty
Atrium LTS,https://www.atrium.co/,Legal Services for Startups,Yes,4.0
Aurora Innovation,https://aurora.tech/,Self Driving Cars,Nope,1.0
Auth0,https://auth0.com/,Log in security and data for developers,Yes,4.0
AutoFi,https://autofi.com/,Online Car Financing,Nope,1.0
AvidXchange,https://www.avidxchange.com/,Automated Bill payment service,Yes,4.0
Away,https://www.awaytravel.com/,empty,empty,empty
Bellhops,https://www.getbellhops.com/,Millenial Moving Service,empty,empty
Bill.com,https://www.bill.com/,empty,empty,empty
Bio Boards Landsurf,www.bio-boards.net/,Custom Boards — Bio Boards,nah,empty
BioRobtics Lab.,biorobotics.ri.cmu.edu/index.php,Biorobotics Lab,nah,empty
Brandless,https://brandless.com/,empty,SHIT YES,5.0
C3 IoT,https://c3iot.ai/,empty,empty,empty
Carta,https://carta.com/,empty,empty,empty
Celmatix,https://celmatix.com/,Something about helping fertility,empty,empty
Citizen,Unknown,Unknown,Unknown,empty
Cloudflare,https://www.cloudflare.com/,Web performance & security,empty,empty
Coda,https://coda.io/welcome,empty,empty,empty
Cohesity,https://www.cohesity.com/,empty,empty,empty
Coinbase,https://www.coinbase.com/,Secure platform for transfering digital currency,Yes,4.0
Continuum Technotogies,https://www.continuum.net/,"Continuum - IT Management, BDR and RMM Software Built for MSPs",Unknown,empty
Convoy,https://convoy.com/,Millenial Trucking company,empty,empty
Crew,https://crewapp.com/,empty,empty,empty
Cripton Technologies Inc.,https://www.crypton.com/,Crypton | Fabric Intelligence,Unknown,empty
Crisalix S[a]rl,https://www.crisalix.com/,Crisalix | VR 4D 3D plastic cosmetic surgery simulator software,SHIT YES,empty
CrowdFlower,https://www.figure-eight.com/,empty,Nope,1.0
CrowdStrike,https://www.crowdstrike.com/,empty,empty,empty
Cybereason,https://www.cybereason.com/,empty,empty,empty
Cylance,https://www.cylance.com/en_us/home.html,empty,empty,empty
Darktrace,https://www.darktrace.com/,empty,empty,empty
Deepmap,https://deepmap.ai/,HD Mapping for self-driving cars,Nope,1.0
Dia&Co,https://www.dia.com/,Stylist Services for plus sized ladies,SHIT YES,5.0
Diamond Kinetics,https://diamondkinetics.com/,Diamond Kinetics – Engineering Better Players,Unknown,empty
DigitalOcean,https://www.digitalocean.com/,empty,empty,empty
Discord,https://discordapp.com/,No idea,empty,empty
Docker,https://www.docker.com/,Docker: Enterprise Container Platform,sure,empty
DorsaVi,https://www.dorsavi.com/,dorsaVi Global - Wearable Sensor Technology & Movement Assessment,sure,empty
Dote,https://www.doteshopping.com/,Shopping App,Nope,1.0
Duo Security,https://duo.com/,Duo Security: Duo Unified Access Security (UAS),sure,empty
Earny,https://www.earny.co/home,Gets refunds for people as prices drop,sure,3.0
Elomatic,https://www.elomatic.com/en/,Consulting & Engineering • Elomatic,meh,empty
Engage Biomechanics,Unknown,Unknown,Unknown,empty
Entelo,https://www.entelo.com/,Recruitment Software,Yes,4.0
Evidence Based Orthopedics NZ,Unknown,empty,empty,empty
Exersciences Performance Lab AG,empty,empty,empty,empty
Fetch Robotics,https://fetchrobotics.com/,Robots helping people do work,Nope,1.0
Figma,https://www.figma.com/,UX Design software?,sure,3.0
Flexport,https://www.flexport.com/,Mover of Freight,Nope,1.0
Flip,https://flip.lease/,sublet or get out of a lease,sure,3.0
Frame.IO,https://frame.io/,"videos, dropbox & emails all in one",Nope,1.0
Function of Beauty,https://www.functionofbeauty.com/,Personalizesd haircare,sure,3.0
Fusion Implants,empty,empty,empty,empty
G2 Crowd,https://www.g2crowd.com/,Software & services for businesses,empty,empty
Gamma Spine,empty,empty,empty,empty
Gigster,https://gigster.com/,cool software building thing,empty,empty
GitLab,https://about.gitlab.com/,empty,empty,empty
Gladly,https://www.gladly.com/,empty,empty,empty
Glossier,https://www.glossier.com/,Makeup stuff,meh,2.0
Gogoro,https://www.gogoro.com/,Crazy energy tech thing,empty,empty
Guardant Health,https://guardanthealth.com/,CONQUERING CANCER WITH DATA,SHIT YES,5.0
Guild Education,https://www.guildeducation.com/,customer service thing,Nope,1.0
Gusto,https://gusto.com/,Online HR,SHIT YES,5.0
HackerOne,https://www.hackerone.com/,Security Platform against hackers,Yes,4.0
Handshake,https://app.joinhandshake.com/login,Helping students find careers,SHIT YES,5.0
Heptio,https://heptio.com/,empty,empty,empty
HiKiB,empty,empty,empty,empty
Holberton School,https://www.holbertonschool.com/,Software engineering school,Nope,1.0
Hooked,http://www.hooked.co/,Storytelling platform,empty,empty
Hudl,https://www.hudl.com/,Some sport thing,Nope,1.0
HUR,empty,empty,empty,empty
Illumio,https://www.illumio.com/,Breach protection,empty,empty
Imbellus,https://www.imbellus.com/#/,simulations to evaluate how people think,SHIT YES,5.0
Index Exchange,empty,Cool ad comapny,sure,3.0
Instacart,https://www.instacart.com/,Grocery Delivery,Nope,1.0
Invincea,https://www.sophos.com/en-us/lp/invincea.aspx,NEVERMIND XD,Nope,1.0
Jamf,https://www.jamf.com/,Device protection,sure,3.0
"Jennifer Doudna, UC Berkeley",empty,empty,empty,empty
JustWorks,https://justworks.com/,HR Services,Yes,4.0
Karlsruhe Institute of Technology,empty,empty,empty,empty
Keybase,https://keybase.io/,Security app,sure,3.0
Knotel,https://knotel.com/,Office space thing,meh,2.0
Kong,https://konghq.com/,API PLATFORM!?!?!,SHIT YES,5.0
Kryon Systems,https://www.kryonsystems.com/,Automation Academy,empty,empty
Laurel & Wolf,https://www.laurelandwolf.com/,Interior Design via interwebs,empty,empty
Lever,https://www.lever.co/,Recruiting software,empty,empty
LLS Biomechanics GmbH,empty,empty,empty,empty
Lola,https://www.mylola.com/,REPRODUCTIVE CARE,SHIT YES,5.0
LUMO BodyTech,empty,empty,empty,empty
Lyft,empty,empty,MEH!?,2.0
Maven,https://maven.apache.org/,Software project mangement,empty,empty
Mesosphere,https://mesosphere.com/,cloud stuff for IoT and data apps,Yes,4.0
Mimetis Biomaterials,empty,empty,empty,empty
Mira Labs,https://www.mirareality.com/,Smartphone Augmented Reality,meh,2.0
Mixpanel,https://mixpanel.com/,"User behavior analytics for product, marketing, and data teams",Yes,4.0
Modsy,https://www.modsy.com/,3D interior design software,meh,2.0
Molekule,https://molekule.com/,Super Airpurifier,Nope,1.0
Motion Workshop,empty,empty,empty,empty
Motiv,https://mymotiv.com/,Fitness ring,meh,2.0
MoveWith,https://www.movewith.com/,fitness coaching thingy,sure,3.0
Narvar,https://corp.narvar.com/,"""Inspire Loyalty Beyond Reason""",Nope,1.0
Nauto,https://www.nauto.com/,fleet driver dafety system,Nope,1.0
NGINX,https://www.nginx.com/,Full Sweat app service w/ API Gateway,sure,3.0
Nowait,https://nowait.com/,Yelp waitless app thingy,empty,empty
Nucleus,empty,empty,empty,empty
Numerai,https://numer.ai/homepage,data science & stock market??,empty,empty
Nurx,https://www.nurx.com/,Birthcontrol delivery service,SHIT YES,5.0
OfferUp,https://offerup.com/,Market place garage sale site,meh,2.0
Omni,empty,Hotel Booking Service,empty,empty
Outdoor Voices,empty,empty,empty,empty
Outreach,empty,empty,empty,empty
OverOps,empty,empty,empty,empty
Parachute,empty,empty,empty,empty
PayJoy,https://www.payjoy.com/,Makes Smartphones affordable,Yes,4.0
Periscope Data,https://www.periscopedata.com/,Business Analytics platform,Yes,4.0
Pindrop,https://www.pindrop.com/,Anti-fraud service,Nope,1.0
Pivotal, https://pivotal.io/,empty,empty,empty
Plantiga,empty,empty,empty,empty
PlateJoy,https://www.platejoy.com/,Meal plan assistance,SHIT YES,5.0
Plenty,https://www.plenty.ag/sf/,Demitria Produce,SHIT YES,5.0
ProDay,empty,empty,empty,empty
Pymetrics,https://www.pymetrics.com/employers/,Matching for jobs w/games,SHIT YES,5.0
Qadium,https://www.qadium.com/,empty,empty,empty
Qualtrics,https://www.qualtrics.com/,empty,empty,empty
Reflektive,https://www.reflektive.com/,empty,empty,empty
Relativity Space,https://www.relativityspace.com/,Making rockets with 3D printing,Nope,1.0
Remix,https://www.remix.com/,Transit Platform,Nope,1.0
Revel Systems,https://revelsystems.com/,empty,empty,empty
