Firm,Site,What They do,Interest,Possible?,#'d Interest,,,,
Accompany,,,Nope,,1,,,,
Advanced Metal Technology AG,,,,,,,,,
Affirm,https://www.affirm.com/,,,,,,,,
Altschool,https://www.altschool.com/,,Yes,Nope,4,,,,
ARSALIS,,,,,,,,,
Atrium LTS,https://www.atrium.co/,Legal Services for Startups,Yes,,4,,,,
Aurora Innovation,https://aurora.tech/,Self Driving Cars,Nope,,1,,,,
Auth0,https://auth0.com/,Log in security and data for developers,Yes,,4,,,,
AutoFi,https://autofi.com/,Online Car Financing,Nope,,1,,,,
AvidXchange,https://www.avidxchange.com/,Automated Bill payment service,Yes,,4,,,,
Away,https://www.awaytravel.com/,,,,,,,,
Bellhops,https://www.getbellhops.com/,Millenial Moving Service,,,,,,, 
Bill.com,https://www.bill.com/,,,,,,,,
Bio Boards Landsurf,,,,,,,,,
BioRobtics Lab.,,,,,,,,,
Brandless,https://brandless.com/,,SHIT YES,,5,,,,
C3 IoT,https://c3iot.ai/,,,,,,,,
Carta,https://carta.com/,,,,,,,,
Celmatix,https://celmatix.com/,Something about helping fertility,,,,,,,
Citizen,,,,,,,,,
Cloudflare,https://www.cloudflare.com/,Web performance & security,,,,,,,
Coda,https://coda.io/welcome,,,,,,,,
Cohesity,https://www.cohesity.com/,,,,,,,,
Coinbase,https://www.coinbase.com/,Secure platform for transfering digital currency,Yes,,4,,,,
Continuum Technotogies,,,,,,,,,
Convoy,https://convoy.com/,Millenial Trucking company,,,,,,,
Crew,https://crewapp.com/,,,,,,,,
Cripton Technologies Inc.,,,,,,,,,
Crisalix S[a]rl,,,,,,,,,
CrowdFlower,https://www.figure-eight.com/,,Nope,,1,,,,
CrowdStrike,https://www.crowdstrike.com/,,,,,,,,
Cybereason,https://www.cybereason.com/,,,,,,,,
Cylance,https://www.cylance.com/en_us/home.html,,,,,,,,
Darktrace,https://www.darktrace.com/,,,,,,,,
Deepmap,https://deepmap.ai/,HD Mapping for self-driving cars,Nope,,1,,,,
Dia&Co,https://www.dia.com/,Stylist Services for plus sized ladies,SHIT YES,,5,,,,
Diamond Kinetics,,,sure,,,,,,
